*sample_name	sample_title	bioproject_accession	*organism	*collection_date	*env_biome	*env_feature	*env_material	*geo_loc_name	*host	*lat_lon	altitude	chem_administration	host_body_habitat	host_diet	host_last_meal	host_life_stage	host_sex	isolation_source	perturbation	samp_collect_device	samp_mat_process	samp_size	samp_store_temp	samp_vol_we_dna_ext	description	duplicates *once **twice	DNA_plate	DNA_well
Fe3/29742	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2C/29742	nan	nan	nan	nan	-80C	nan	nan	nan	P5	D10
Fe3/29846	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2C/29846	nan	nan	nan	nan	-80C	nan	nan	nan	P3	B2
Fe3/29924	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	ColiGuard Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3A/29924	nan	nan	nan	nan	-80C	nan	nan	nan	P6	H12
Fe3/14209	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	ColiGuard Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3A/14209	nan	nan	nan	nan	-80C	nan	nan	nan	P5	H10
Fe3/14188	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	ColiGuard Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3A/14188	nan	nan	nan	nan	-80C	nan	nan	nan	P6	D8
Fe3/14306	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	ColiGuard Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3B/14306	nan	nan	nan	nan	-80C	nan	nan	nan	P4	B5
Fe3/14308	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	ColiGuard Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3B/14308	nan	nan	nan	nan	-80C	nan	nan	nan	P5	E6
Fe3/29700	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	ColiGuard Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3B/29700	nan	nan	nan	nan	-80C	nan	nan	nan	P4	F10
Fe3/29704	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	ColiGuard Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3C/29704	nan	nan	nan	nan	-80C	nan	nan	nan	P4	F7
Fe3/14288	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	ColiGuard Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3C/14288	nan	nan	nan	nan	-80C	nan	nan	nan	P6	C6
Fe3/29781	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4A/29781	nan	nan	nan	nan	-80C	nan	nan	nan	P6	G8
Fe3/29668	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4A/29668	nan	nan	nan	nan	-80C	nan	nan	nan	P5	F10
Fe3/14265	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4A/14265	nan	nan	nan	nan	-80C	nan	nan	nan	P5	E2
Fe3/14208	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4B/14208	nan	nan	nan	nan	-80C	nan	nan	nan	P4	E7
Fe3/29796	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4B/29796	nan	nan	nan	nan	-80C	nan	nan	nan	P3	G1
Fe3/29847	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4C/29847	nan	nan	nan	nan	-80C	nan	nan	nan	P3	A9
Fe3/29753	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4C/29753	nan	nan	nan	nan	-80C	nan	nan	nan	P5	D3
Fe3/29694	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4C/29694	nan	nan	nan	nan	-80C	nan	nan	nan	P6	D2
Fe3/29652	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4D/29652	nan	nan	nan	nan	-80C	nan	nan	nan	P3	C6
Fe3/14320	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4D/14320	nan	nan	nan	nan	-80C	nan	nan	nan	P6	F6
Fe3/29951	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4D/29951	nan	nan	nan	nan	-80C	nan	nan	nan	P5	C11
Fe3/29934	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4E/29934	nan	nan	nan	nan	-80C	nan	nan	nan	P3	F8
Fe3/29865	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4E/29865	nan	nan	nan	nan	-80C	nan	nan	nan	P4	A11
Fe3/29667	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4E/29667	nan	nan	nan	nan	-80C	nan	nan	nan	P6	C12
Fe3/29931	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4F/29931	nan	nan	nan	nan	-80C	nan	nan	nan	P3	F11
Fe3/29961	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4F/29961	nan	nan	nan	nan	-80C	nan	nan	nan	P6	E1
Fe3/14263	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4G/14263	nan	nan	nan	nan	-80C	nan	nan	nan	P8	E1
Fe3/29702	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4G/29702	nan	nan	nan	nan	-80C	nan	nan	nan	P7	G7
Fe3/29715	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4H/29715	nan	nan	nan	nan	-80C	nan	nan	nan	P3	H8
Fe3/14260	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4H/14260	nan	nan	nan	nan	-80C	nan	nan	nan	P8	F2
Fe3/29643	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4H/29643	nan	nan	nan	nan	-80C	nan	nan	nan	P7	E6
Fe3/14261	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4I/14261	nan	nan	nan	nan	-80C	nan	nan	nan	P3	H10
Fe3/14186	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4I/14186	nan	nan	nan	nan	-80C	nan	nan	nan	P4	G10
Fe3/29646	nan	nan	Gut microflora metagenomics	2017-02-03 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Neomycin Day 3	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4I/29646	nan	nan	nan	nan	-80C	nan	nan	nan	P6	D9
Fe6/14277	nan	nan	Gut microflora metagenomics	2017-02-06 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 6	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1C/14277	nan	nan	nan	nan	-80C	nan	nan	nan	P10	F8
Fe6/14204	nan	nan	Gut microflora metagenomics	2017-02-06 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 6	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1C/14204	nan	nan	nan	nan	-80C	nan	nan	nan	P9	C3
Fe6/14182	nan	nan	Gut microflora metagenomics	2017-02-06 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 6	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1D/14182	nan	nan	nan	nan	-80C	nan	nan	nan	P10	C3
Fe6/29945	nan	nan	Gut microflora metagenomics	2017-02-06 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 6	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1D/29945	nan	nan	nan	nan	-80C	nan	nan	nan	P9	D8
Fe6/14271	nan	nan	Gut microflora metagenomics	2017-02-06 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 6	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1D/14271	nan	nan	nan	nan	-80C	nan	nan	nan	P10	E3
Fe6/29867	nan	nan	Gut microflora metagenomics	2017-02-06 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 6	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1D/29867	nan	nan	nan	nan	-80C	nan	nan	nan	P9	F1
Fe6/14192	nan	nan	Gut microflora metagenomics	2017-02-06 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4C/14192	nan	nan	nan	nan	-80C	nan	nan	nan	P10	G3
Fe6/29693	nan	nan	Gut microflora metagenomics	2017-02-06 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4H/29693	nan	nan	nan	nan	-80C	nan	nan	nan	P9	A1
Fe6/29946	nan	nan	Gut microflora metagenomics	2017-02-06 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4H/29946	nan	nan	nan	nan	-80C	nan	nan	nan	P10	B2
Fe6/29647	nan	nan	Gut microflora metagenomics	2017-02-06 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4I/29647	nan	nan	nan	nan	-80C	nan	nan	nan	P9	D5
Fe6/29804	nan	nan	Gut microflora metagenomics	2017-02-06 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4I/29804	nan	nan	nan	nan	-80C	nan	nan	nan	P10	G5
Fe6/14207	nan	nan	Gut microflora metagenomics	2017-02-06 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Ex Neomycin 	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4I/14207	nan	nan	nan	nan	-80C	nan	nan	nan	P9	B6
Fe7/29912	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1A/29912	nan	nan	nan	nan	-80C	nan	nan	nan	P7	B9
Fe7/14160	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1A/14160	nan	nan	nan	nan	-80C	nan	nan	nan	P3	B4
Fe7/29707	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1A/29707	nan	nan	nan	nan	-80C	nan	nan	nan	P7	F5
Fe7/14322	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1A/14322	nan	nan	nan	nan	-80C	nan	nan	nan	P7	B1
Fe7/29913	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1A/29913	nan	nan	nan	nan	-80C	nan	nan	nan	P7	A6
Fe7/14187	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1A/14187	nan	nan	nan	nan	-80C	nan	nan	nan	P3	A7
Fe7/14286	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1B/14286	nan	nan	nan	nan	-80C	nan	nan	nan	P8	D10
Fe7/29962	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1B/29962	nan	nan	nan	nan	-80C	nan	nan	nan	P7	E5
Fe7/29665	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1B/29665	nan	nan	nan	nan	-80C	nan	nan	nan	P8	E4
Fe7/29939	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1B/29939	nan	nan	nan	nan	-80C	nan	nan	nan	P8	H12
Fe7/14161	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1B/14161	nan	nan	nan	nan	-80C	nan	nan	nan	P4	C12
Fe7/29705	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1B/29705	nan	nan	nan	nan	-80C	nan	nan	nan	P8	C10
Fe7/29654	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1C/29654	nan	nan	nan	nan	-80C	nan	nan	nan	P7	D7
Fe7/29898	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1C/29898	nan	nan	nan	nan	-80C	nan	nan	nan	P8	G2
Fe7/29631	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1C/29631	nan	nan	nan	nan	-80C	nan	nan	nan	P6	B3
Fe7/29666	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1C/29666	nan	nan	nan	nan	-80C	nan	nan	nan	P4	G8
Fe7/29948	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	Control - Placebo Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1C/29948	nan	nan	nan	nan	-80C	nan	nan	nan	P8	C3
Fe7/14233	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2A/14233	nan	nan	nan	nan	-80C	nan	nan	nan	P7	F10
Fe7/29792	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2A/29792	nan	nan	nan	nan	-80C	nan	nan	nan	P3	A10
Fe7/14159	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2A/14159	nan	nan	nan	nan	-80C	nan	nan	nan	P4	B2
Fe7/14205	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2A/14205	nan	nan	nan	nan	-80C	nan	nan	nan	P5	D12
Fe7/29752	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2A/29752	nan	nan	nan	nan	-80C	nan	nan	nan	P6	C1
Fe7/29875	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2A/29875	nan	nan	nan	nan	-80C	nan	nan	nan	P5	G5
Fe7/29644	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2B/29644	nan	nan	nan	nan	-80C	nan	nan	nan	P3	F2
Fe7/29914	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2B/29914	nan	nan	nan	nan	-80C	nan	nan	nan	P5	D9
Fe7/14276	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2B/14276	nan	nan	nan	nan	-80C	nan	nan	nan	P6	F4
Fe7/14172	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2B/14172	nan	nan	nan	nan	-80C	nan	nan	nan	P8	B4
Fe7/14262	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2B/14262	nan	nan	nan	nan	-80C	nan	nan	nan	P8	E7
Fe7/29765	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2B/29765	nan	nan	nan	nan	-80C	nan	nan	nan	P6	F9
Fe7/29864	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2C/29864	nan	nan	nan	nan	-80C	nan	nan	nan	P3	E5
Fe7/29778	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2C/29778	nan	nan	nan	nan	-80C	nan	nan	nan	P6	A4
Fe7/14317	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2C/14317	nan	nan	nan	nan	-80C	nan	nan	nan	P6	G2
Fe7/29742	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2C/29742	nan	nan	nan	nan	-80C	nan	nan	nan	P5	E10
Fe7/14273	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2C/14273	nan	nan	nan	nan	-80C	nan	nan	nan	P7	G11
Fe7/29846	nan	nan	Gut microflora metagenomics	2017-02-07 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	D-scour Day 7	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2C/29846	nan	nan	nan	nan	-80C	nan	nan	nan	P4	E1
